date,iso_week,close,volume,close_point_relative_normalization,volume_point_relative_normalization
2016-09-27,2016-39,606.17,49422400,0.008887705341,0.4545497354
2016-09-28,2016-39,604.73,48722600,0.006491020755,0.4339539346
2016-09-29,2016-39,605.69,55658600,0.008088810479,0.6380872217
2016-09-30,2016-39,609.74,56122400,0.01482948588,0.6517373108
2016-10-01,2016-39,613.98,56357000,0.02188639049,0.6586418191
2016-10-02,2016-40,610.89,39249800,0,0
2016-10-03,2016-40,612.13,46798300,0.002029825337,0.1923194513
2016-10-04,2016-40,610.2,49801600,-0.001129499583,0.2688370387
2016-10-05,2016-40,612.51,68077500,0.002651868585,0.7344674368
2016-10-06,2016-40,613.02,56812100,0.003486716103,0.4474494138
2016-10-07,2016-40,617.12,64071400,0.01019823536,0.6324006747
2016-10-08,2016-40,619.11,42345900,0.01345577764,0.07888193061
2016-10-09,2016-41,616.75,39243400,0,0
2016-10-10,2016-41,618.99,67481100,0.00363194163,0.719552842
2016-10-11,2016-41,641.07,103590000,0.03943250912,1.639679538
2016-10-12,2016-41,636.19,92370200,0.03152006486,1.353776686
2016-10-13,2016-41,636.79,61620700,0.03249290636,0.5702181768
2016-10-14,2016-41,640.38,58144600,0.03831374139,0.4816402249
2016-10-15,2016-41,638.65,39035400,0.03550871504,-0.00530025431
2016-10-16,2016-42,641.63,40298100,0,0
2016-10-17,2016-42,639.19,58063600,-0.003802814706,0.4408520501
2016-10-18,2016-42,637.96,65546700,-0.005719807366,0.6265456684
2016-10-19,2016-42,630.52,69381700,-0.01731527516,0.7217114455
2016-10-20,2016-42,630.86,56957300,-0.01678537475,0.4133991429
2016-10-21,2016-42,632.83,55951000,-0.01371506943,0.3884277423
2016-10-22,2016-42,657.29,78556500,0.02440658947,0.9493847104
2016-10-23,2016-43,657.07,54474600,0,0
2016-10-24,2016-43,653.76,62218200,-0.005037515029,0.1421506537
2016-10-25,2016-43,657.59,90378800,0.0007913920891,0.6590998374
2016-10-26,2016-43,678.3,88877100,0.03231010395,0.6315328612
2016-10-27,2016-43,688.31,96105300,0.04754440166,0.7642222247
2016-10-28,2016-43,689.65,81145500,0.0495837582,0.4896024936
2016-10-29,2016-43,714.48,134761000,0.08737273045,1.473831841
2016-10-30,2016-44,701.86,100665000,0,0
2016-10-31,2016-44,700.97,97064400,-0.001268059157,-0.03576814186
2016-11-01,2016-44,729.79,130527000,0.03979426096,0.2966472955
2016-11-02,2016-44,740.83,84865200,0.05552389365,-0.1569542542
2016-11-03,2016-44,688.7,172808000,-0.0187501781,0.7166641832
2016-11-04,2016-44,703.24,99907700,0.001966204086,-0.007522972235
2016-11-05,2016-44,703.42,53752300,0.002222665489,-0.4660279144
2016-11-06,2016-45,711.52,59902200,0,0
2016-11-07,2016-45,703.13,65047100,-0.0117916573,0.08588833131
2016-11-08,2016-45,709.85,79660800,-0.002347087924,0.3298476517
2016-11-09,2016-45,723.27,132429000,0.01651394198,1.210753528
2016-11-10,2016-45,715.53,68807800,0.005635821902,0.1486689971
2016-11-11,2016-45,716.41,63119700,0.006872610749,0.05371255146
2016-11-12,2016-45,705.05,64622500,-0.009093208905,0.07880011085
2016-11-13,2016-46,702.03,80318100,0,0
2016-11-14,2016-46,705.02,62993000,0.004259077247,-0.2157060488
2016-11-15,2016-46,711.62,72038500,0.01366038488,-0.1030851078
2016-11-16,2016-46,744.2,141294000,0.06006865803,0.7591800603
2016-11-17,2016-46,740.98,108579000,0.05548195946,0.3518621581
2016-11-18,2016-46,751.59,87363100,0.07059527371,0.08771372829
2016-11-19,2016-46,751.62,110608000,0.07063800692,0.3771242099
2016-11-20,2016-47,731.03,154116000,0,0
2016-11-21,2016-47,739.25,60802400,0.01124440857,-0.6054763944
2016-11-22,2016-47,751.35,129906000,0.02779639686,-0.1570894651
2016-11-23,2016-47,744.59,76543800,0.01854917035,-0.5033364479
2016-11-24,2016-47,740.29,85919300,0.01266705881,-0.4425024008
2016-11-25,2016-47,741.65,67807600,0.01452744757,-0.5600223208
2016-11-26,2016-47,735.38,54962700,0.005950508187,-0.6433679826
2016-11-27,2016-48,732.03,52601800,0,0
2016-11-28,2016-48,735.81,61888600,0.005163722798,0.1765490915
2016-11-29,2016-48,735.6,68511100,0.004876849309,0.302447825
2016-11-30,2016-48,745.69,84070800,0.01866043741,0.5982494896
2016-12-01,2016-48,756.77,80461900,0.03379642911,0.5296415712
2016-12-02,2016-48,777.94,127605000,0.06271600891,1.425867556
2016-12-03,2016-48,771.15,69547300,0.05344043277,0.3221467706
2016-12-04,2016-49,773.87,60557900,0,0
2016-12-05,2016-49,758.7,106363000,-0.01960277566,0.7563852115
2016-12-06,2016-49,764.22,116218000,-0.01246979467,0.9191220303
2016-12-07,2016-49,768.13,96426100,-0.007417266466,0.592295968
2016-12-08,2016-49,770.81,80111900,-0.003954152506,0.3228975906
2016-12-09,2016-49,772.79,68705300,-0.001395583237,0.1345390114
2016-12-10,2016-49,774.65,53843100,0.001007921227,-0.1108823126
2016-12-11,2016-50,769.73,57313400,0,0
2016-12-12,2016-50,780.09,76571000,0.01345926494,0.3360051925
2016-12-13,2016-50,780.56,81645600,0.01406986866,0.4245464411
2016-12-14,2016-50,781.48,75979000,0.01526509295,0.3256760199
2016-12-15,2016-50,778.09,81580100,0.01086095124,0.4234036019
2016-12-16,2016-50,784.91,83608200,0.01972120094,0.458789742
2016-12-17,2016-50,790.83,78989800,0.02741220948,0.3782082375
2016-12-18,2016-51,790.53,60524400,0,0
2016-12-19,2016-51,792.71,74886400,0.002757643606,0.2372927282
2016-12-20,2016-51,800.88,99629300,0.01309248226,0.646101407
2016-12-21,2016-51,834.28,155576000,0.05534261824,1.570467448
2016-12-22,2016-51,864.54,200027000,0.09362073546,2.30489852
2016-12-23,2016-51,921.98,275564000,0.1662808496,3.552940632
2016-12-24,2016-51,898.82,137727000,0.1369840487,1.275561592
2016-12-25,2016-52,896.18,143665000,0,0
2016-12-26,2016-52,907.61,123771000,0.01275413421,-0.1384749243
2016-12-27,2016-52,933.2,167308000,0.04130866567,0.1645703546
2016-12-28,2016-52,975.92,236630000,0.08897766074,0.647095674
2016-12-29,2016-52,973.5,199320000,0.08627731036,0.3873942853
2016-12-30,2016-52,961.24,187474000,0.07259702292,0.3049385724
2016-12-31,2016-52,963.74,99135100,0.07538664108,-0.309956496
2017-01-01,2017-01,998.33,147775000,0,0
2017-01-02,2017-01,1021.75,222185000,0.02345917683,0.5035357807
2017-01-03,2017-01,1043.84,185168000,0.04558612884,0.2530400947
2017-01-04,2017-01,1154.73,344946000,0.1566616249,1.33426493
2017-01-05,2017-01,1013.38,510199000,0.01507517554,2.452539333
2017-01-06,2017-01,902.2,351876000,-0.09629080565,1.381160548
2017-01-07,2017-01,908.59,279550000,-0.08989011649,0.8917272881
2017-01-08,2017-02,911.2,158715000,0,0
2017-01-09,2017-02,902.83,141877000,-0.009185689201,-0.1060895316
2017-01-10,2017-02,907.68,115808000,-0.003863037752,-0.2703399175
2017-01-11,2017-02,777.76,310929000,-0.1464442493,0.9590397883
2017-01-12,2017-02,804.83,222326000,-0.1167361721,0.4007875752
2017-01-13,2017-02,823.98,168968000,-0.09571992976,0.06460006931
2017-01-14,2017-02,818.41,93063300,-0.101832748,-0.4136452131
2017-01-15,2017-03,821.8,71013600,0,0
2017-01-16,2017-03,831.53,82755200,0.01183986371,0.1653429766
2017-01-17,2017-03,907.94,155095000,0.1048186907,1.184018273
2017-01-18,2017-03,886.62,225677000,0.07887563884,2.177940563
2017-01-19,2017-03,899.07,105625000,0.09402531029,0.4873911476
2017-01-20,2017-03,895.03,86728400,0.08910927233,0.2212928228
2017-01-21,2017-03,921.79,111158000,0.1216719396,0.5653058006
2017-01-22,2017-04,924.67,116573000,0,0
2017-01-23,2017-04,921.01,73588600,-0.00395816886,-0.3687337548
2017-01-24,2017-04,892.69,111349000,-0.03458531152,-0.04481312139
2017-01-25,2017-04,901.54,120831000,-0.02501432944,0.03652646839
2017-01-26,2017-04,917.59,131958000,-0.007656785664,0.1319773876
2017-01-27,2017-04,919.75,125594000,-0.005320817156,0.07738498623
2017-01-28,2017-04,921.59,68979600,-0.003330918057,-0.408271212
2017-01-29,2017-05,919.5,60851700,0,0
2017-01-30,2017-05,920.38,78227300,0.0009570418706,0.2855400917
2017-01-31,2017-05,970.4,164582000,0.05535617183,1.704640955
2017-02-01,2017-05,989.02,150110000,0.07560630778,1.466816868
2017-02-02,2017-05,1011.8,145821000,0.1003806417,1.396334038
2017-02-03,2017-05,1029.91,201278000,0.1200761283,2.307680804
2017-02-04,2017-05,1042.9,155064000,0.1342033714,1.548227905
2017-02-05,2017-06,1027.34,114208000,0,0
2017-02-06,2017-06,1038.15,111762000,0.01052231978,-0.0214170636
2017-02-07,2017-06,1061.35,146007000,0.03310491171,0.2784305828
2017-02-08,2017-06,1063.07,201855000,0.03477913836,0.7674331045
2017-02-09,2017-06,994.38,407220000,-0.03208285475,2.565599608
2017-02-10,2017-06,988.67,190452000,-0.03764089785,0.6675889605
2017-02-11,2017-06,1004.45,102261000,-0.02228084179,-0.104607383
2017-02-12,2017-07,999.18,67530000,0,0
2017-02-13,2017-07,990.64,100607000,-0.008547008547,0.4898119354
2017-02-14,2017-07,1004.55,137946000,0.005374407014,1.042736562
2017-02-15,2017-07,1007.48,89759400,0.008306811586,0.329178143
2017-02-16,2017-07,1027.44,122277000,0.02828319222,0.8107063527
2017-02-17,2017-07,1046.21,136474000,0.04706859625,1.020938842
2017-02-18,2017-07,1054.42,99073500,0.05528533397,0.4671035096
2017-02-19,2017-08,1047.87,77423300,0,0
2017-02-20,2017-08,1079.98,109478000,0.03064311413,0.4140187773
2017-02-21,2017-08,1115.3,186869000,0.06434958535,1.41360159
2017-02-22,2017-08,1117.44,136100000,0.06639182341,0.7578687553
2017-02-23,2017-08,1166.72,189454000,0.1134205579,1.446989472
2017-02-24,2017-08,1173.68,330759000,0.1200626032,3.272086052
2017-02-25,2017-08,1143.84,139961000,0.09158578831,0.807737464
2017-02-26,2017-09,1165.2,116486000,0,0
2017-02-27,2017-09,1179.97,131570000,0.01267593546,0.1294919561
2017-02-28,2017-09,1179.97,184956000,0.01267593546,0.5877959583
2017-03-01,2017-09,1222.5,229057000,0.04917610711,0.9663908109
2017-03-02,2017-09,1251.01,368275000,0.07364400961,2.161538726
2017-03-03,2017-09,1274.99,315739000,0.09422416752,1.710531738
2017-03-04,2017-09,1255.15,183270000,0.07719704772,0.573322116
2017-03-05,2017-10,1267.12,134127000,0,0
2017-03-06,2017-10,1272.83,153657000,0.004506281962,0.1456082668
2017-03-07,2017-10,1223.54,291256000,-0.0343929541,1.171494181
2017-03-08,2017-10,1150,332603000,-0.09243007766,1.479761718
2017-03-09,2017-10,1188.49,212283000,-0.06205410695,0.5827014695
2017-03-10,2017-10,1116.72,563796000,-0.118694362,3.20344897
2017-03-11,2017-10,1175.83,283320000,-0.07204526801,1.112326377
2017-03-12,2017-11,1221.38,227176000,0,0
2017-03-13,2017-11,1231.92,380277000,0.008629582931,0.6739312251
2017-03-14,2017-11,1240,245306000,0.01524505068,0.07980596542
2017-03-15,2017-11,1249.61,297805000,0.02311319982,0.310899919
2017-03-16,2017-11,1187.81,638568000,-0.02748530351,1.810895517
2017-03-17,2017-11,1100.23,706599000,-0.09919107894,2.110359369
2017-03-18,2017-11,973.82,621302000,-0.2026887619,1.73489277
2017-03-19,2017-12,1036.74,406648000,0,0
2017-03-20,2017-12,1054.23,286530000,0.01687018925,-0.2953856898
2017-03-21,2017-12,1120.54,337391000,0.08083029496,-0.170311916
2017-03-22,2017-12,1049.14,380841000,0.01196056871,-0.06346274911
2017-03-23,2017-12,1038.59,248540000,0.001784439686,-0.3888080109
2017-03-24,2017-12,937.52,491038000,-0.09570384089,0.2075259192
2017-03-25,2017-12,972.78,435803000,-0.06169338503,0.07169591391
2017-03-26,2017-13,966.73,303668000,0,0
2017-03-27,2017-13,1045.77,372535000,0.08176016054,0.2267838561
2017-03-28,2017-13,1047.15,326332000,0.08318765322,0.07463413992
2017-03-29,2017-13,1039.97,298458000,0.07576055362,-0.01715689503
2017-03-30,2017-13,1026.43,352969000,0.0617545747,0.1623516472
2017-03-31,2017-13,1071.79,447287000,0.1086756385,0.4729474294
2017-04-01,2017-13,1080.5,289634000,0.117685393,-0.04621494527
2017-04-02,2017-14,1102.17,514187000,0,0
2017-04-03,2017-14,1143.81,580444000,0.03778001579,0.1288577891
2017-04-04,2017-14,1133.25,436310000,0.02819891668,-0.1514565712
2017-04-05,2017-14,1124.78,414784000,0.02051407678,-0.1933207179
2017-04-06,2017-14,1182.68,511222000,0.07304680766,-0.005766384603
2017-04-07,2017-14,1176.9,317022000,0.06780260758,-0.38344999
2017-04-08,2017-14,1175.95,209312000,0.06694067158,-0.5929263089
2017-04-09,2017-15,1187.87,242343000,0,0
2017-04-10,2017-15,1187.13,215883000,-0.0006229637923,-0.1091840903
2017-04-11,2017-15,1205.01,216182000,0.01442918838,-0.1079503018
2017-04-12,2017-15,1200.37,288702000,0.01052303703,0.1912949827
2017-04-13,2017-15,1169.28,351969000,-0.01564986067,0.4523588468
2017-04-14,2017-15,1167.54,254827000,-0.01711466743,0.05151376355
2017-04-15,2017-15,1172.52,203559000,-0.01292228948,-0.1600376326
2017-04-16,2017-16,1182.94,183231000,0,0
2017-04-17,2017-16,1193.91,253206000,0.009273504996,0.381894985
2017-04-18,2017-16,1211.67,270524000,0.02428694608,0.4764095595
2017-04-19,2017-16,1210.29,288061000,0.02312036113,0.5721193466
2017-04-20,2017-16,1229.08,315108000,0.03900451418,0.7197308316
2017-04-21,2017-16,1222.05,272167000,0.03306169375,0.4853763828
2017-04-22,2017-16,1231.71,249320000,0.04122778839,0.3606867833
2017-04-23,2017-17,1207.21,258951000,0,0
2017-04-24,2017-17,1250.15,235806000,0.0355696192,-0.08937984406
2017-04-25,2017-17,1265.49,242556000,0.04827660473,-0.06331313646
2017-04-26,2017-17,1281.08,329631000,0.06119067933,0.2729473916
2017-04-27,2017-17,1317.73,449197000,0.09154993746,0.734679534
2017-04-28,2017-17,1316.48,527489000,0.09051449209,1.037022448
2017-04-29,2017-17,1321.79,422706000,0.09491306401,0.6323783264
2017-04-30,2017-18,1347.89,413115000,0,0
2017-05-01,2017-18,1421.6,713624000,0.05468547137,0.7274221464
2017-05-02,2017-18,1452.82,477338000,0.07784759884,0.155460344
2017-05-03,2017-18,1490.09,583796000,0.1054982231,0.413156143
2017-05-04,2017-18,1537.67,933549000,0.1407978396,1.259779964
2017-05-05,2017-18,1555.45,946036000,0.153988827,1.290006415
2017-05-06,2017-18,1578.8,582530000,0.1713121991,0.410091621
2017-05-07,2017-19,1596.71,1080030000,0,0
2017-05-08,2017-19,1723.35,1340320000,0.07931308754,0.2410025647
2017-05-09,2017-19,1755.36,1167920000,0.09936056015,0.08137736915
2017-05-10,2017-19,1787.13,915723000,0.1192577237,-0.1521318852
2017-05-11,2017-19,1848.57,799490000,0.1577368464,-0.2597520439
2017-05-12,2017-19,1724.24,740984000,0.07987048368,-0.3139227614
2017-05-13,2017-19,1804.91,579635000,0.1303931209,-0.4633158338
2017-05-14,2017-20,1808.91,437196000,0,0
2017-05-15,2017-20,1738.43,731529000,-0.03896269024,0.6732289408
2017-05-16,2017-20,1734.45,959045000,-0.04116291026,1.193627115
2017-05-17,2017-20,1839.09,1064730000,0.01668408047,1.435360799
2017-05-18,2017-20,1888.65,894321000,0.04408179511,1.045583674
2017-05-19,2017-20,1987.71,1157290000,0.09884405526,1.647073624
2017-05-20,2017-20,2084.73,961336000,0.1524785644,1.198867327
2017-05-21,2017-21,2041.2,1147860000,0,0
2017-05-22,2017-21,2173.4,1942220000,0.06476582403,0.6920356141
2017-05-23,2017-21,2320.42,1378750000,0.1367920831,0.2011482237
2017-05-24,2017-21,2443.64,1725380000,0.1971585342,0.5031275591
2017-05-25,2017-21,2304.98,2406700000,0.1292279052,1.096684265
2017-05-26,2017-21,2202.42,1763480000,0.07898295121,0.5363197602
2017-05-27,2017-21,2038.87,1700480000,-0.001141485401,0.4814350182
2017-05-28,2017-22,2155.8,1147140000,0,0
2017-05-29,2017-22,2255.61,994625000,0.04629835792,-0.1329523859
2017-05-30,2017-22,2175.47,1443970000,0.009124223026,0.2587565598
2017-05-31,2017-22,2286.41,1544830000,0.06058539753,0.3466795683
2017-06-01,2017-22,2407.88,1653180000,0.1169310697,0.4411318584
2017-06-02,2017-22,2488.55,1317030000,0.154351053,0.1480987499
2017-06-03,2017-22,2515.35,1514950000,0.1667826329,0.3206321809
2017-06-04,2017-23,2511.81,1355120000,0,0
2017-06-05,2017-23,2686.81,1369310000,0.06967087479,0.01047139737
2017-06-06,2017-23,2863.2,2089610000,0.1398951354,0.5420110396
2017-06-07,2017-23,2732.16,1517710000,0.08772558434,0.1199819942
2017-06-08,2017-23,2805.62,1281170000,0.116971427,-0.05457081292
2017-06-09,2017-23,2823.81,1348950000,0.1242132168,-0.004553102308
2017-06-10,2017-23,2947.71,2018890000,0.1735401961,0.4898237794
2017-06-11,2017-24,2958.11,1752400000,0,0
2017-06-12,2017-24,2659.63,2569530000,-0.1009022653,0.4662919425
2017-06-13,2017-24,2717.02,1781200000,-0.08150136405,0.01643460397
2017-06-14,2017-24,2506.37,1696560000,-0.1527123738,-0.03186487103
2017-06-15,2017-24,2464.58,2026260000,-0.1668396375,0.1562771057
2017-06-16,2017-24,2518.56,1195190000,-0.1485914993,-0.3179696416
2017-06-17,2017-24,2655.88,1534510000,-0.1021699666,-0.1243380507
2017-06-18,2017-25,2548.29,1178660000,0,0
2017-06-19,2017-25,2589.6,1446840000,0.01621087082,0.2275295675
2017-06-20,2017-25,2721.79,1854190000,0.0680848726,0.5731338978
2017-06-21,2017-25,2689.1,1626580000,0.05525666231,0.3800247739
2017-06-22,2017-25,2705.41,1097940000,0.06165703276,-0.06848455025
2017-06-23,2017-25,2744.91,961319000,0.07715762335,-0.1843966878
2017-06-24,2017-25,2608.72,982750000,0.02371394151,-0.1662141754